,datetime,date,open,high,low,close,pct,candle,sma,std,std_raito,action,num_of_share,open_price,close_price,realized_pnl,unrealized_pnl,net_profit,equity_value,mdd_dollar,mdd_pct,commission,logic
0,2024-01-01 00:00:00,2024-01-01 00:00:00,42280.23527619226,42712.18984743377,42280.23527619226,42300.17919407239,,0.0004717078263603014,,,,,0.0,,,,0.0,0.0,10000.0,0,0,0.0,
1,2024-01-01 04:00:00,2024-01-01 04:00:00,42325.04462823714,42501.02325959341,42227.50368564013,42469.3394165754,0.003999042692630406,0.0034092058166901307,,,,,0.0,,,,0.0,0.0,10000.0,0,0,0.0,
2,2024-01-01 08:00:00,2024-01-01 08:00:00,42493.63295174137,42753.57717277199,42464.80994082149,42643.19384068746,0.004093645592335493,0.0035196070224436937,,,,,0.0,,,,0.0,0.0,10000.0,0,0,0.0,
3,2024-01-01 12:00:00,2024-01-01 12:00:00,42687.913689962654,42831.00399282425,42604.02185015048,42795.2136233588,0.0035649248796718602,0.0025135904784538976,,,,,0.0,,,,0.0,0.0,10000.0,0,0,0.0,
4,2024-01-01 16:00:00,2024-01-01 16:00:00,42787.18107491717,43544.481672301255,42697.20769104941,43544.481672301255,0.017508220791623286,0.017699240248103987,,,,open,0.22965022468876975,43544.481672301255,,,0.0,0.0,10000.0,0,0,0.0,trade_logic
5,2024-01-01 20:00:00,2024-01-01 20:00:00,43610.12591546252,44152.22690443671,43452.68755282967,44152.22690443671,0.013956882911343671,0.01243062196208844,,,,,0.22965022468876975,,,,138.46115282783515,138.46,10138.461152827835,0,0,0.0,trade_logic
6,2024-01-02 00:00:00,2024-01-02 00:00:00,44187.13903948764,45467.147622246746,44187.13903948764,45419.55458112398,0.02870359584422033,0.02789082000839649,,,,,0.22965022468876975,,,,429.4872312186485,429.49,10429.487231218649,0,0,0.0,trade_logic
7,2024-01-02 04:00:00,2024-01-02 04:00:00,45426.20267313175,45538.51382931524,45181.02780328114,45507.03582518766,0.0019260700566190447,0.0017794388986802634,,,,,0.22965022468876975,,,,449.5762136191215,449.58,10449.576213619122,0,0,0.0,
8,2024-01-02 08:00:00,2024-01-02 08:00:00,45502.22925880657,45877.37899736999,45270.51803892337,45321.83262776862,-0.0040697706203165485,-0.0039645668789520805,,,,,0.22965022468876975,,,,407.046596976335,407.05,10407.046596976335,0,0,0.0,
9,2024-01-02 12:00:00,2024-01-02 12:00:00,45461.49619546189,45802.43899327699,45034.05362483324,45317.309612506346,-9.979771337631504e-05,-0.0031716198326516842,43947.03672980187,1353.8505972402604,-1.0121300574064027,,0.22965022468876975,,,,406.0079426342137,406.01,10406.007942634214,0,0,0.0,
10,2024-01-02 16:00:00,2024-01-02 16:00:00,45221.66049234616,45414.2524329988,44869.30449306036,44925.43364136406,-0.008647379433887159,-0.006550552274218857,44209.562174531035,1249.5389211444417,-0.5729084982621975,,0.22965022468876975,,,,316.0184875035239,316.02,10316.018487503525,0,0,0.0,
11,2024-01-02 20:00:00,2024-01-02 20:00:00,45056.00276163752,45242.26703072571,44703.498110014894,44977.03809117667,0.0011486689304895936,-0.0017525893470533571,44460.332041991154,1104.7330703315736,-0.4677202693230065,,0.22965022468876975,,,,327.86880919438715,327.87,10327.868809194388,0,0,0.0,
12,2024-01-03 00:00:00,2024-01-03 00:00:00,44961.60318680246,45392.24042788955,44922.883201338285,45236.89454245475,0.005777535878447537,0.006122810045463334,44719.702112167884,919.6766431506884,-0.5623633416578169,,0.22965022468876975,,,,387.5416194321412,387.54,10387.54161943214,0,0,0.0,
13,2024-01-03 04:00:00,2024-01-03 04:00:00,45280.34135726064,45386.12897423596,45000.59405068419,45000.59405068419,-0.005223623198732041,-0.006178118322237247,44940.24015490042,623.7093523833441,-0.09676605866681257,,0.22965022468876975,,,,333.2781430583214,333.28,10333.278143058322,0,0,0.0,
14,2024-01-03 08:00:00,2024-01-03 08:00:00,45049.347851115934,45503.2417949492,44147.41976626231,44147.41976626231,-0.018959178260201326,-0.020020891042294653,45000.53396429653,488.2154805037837,1.7474132470234172,,0.22965022468876975,,,,137.35725318379386,137.36,10137.357253183794,0,0,0.0,
15,2024-01-03 12:00:00,2024-01-03 12:00:00,43706.0454657089,43706.0454657089,40813.53486816679,42970.04878710222,-0.026669077952769626,-0.016839699651713613,44882.31615256308,775.2189565621103,2.466744845793317,,0.22965022468876975,,,,-133.01138562931334,-133.01,9866.988614370686,0,0,0.0,
16,2024-01-03 16:00:00,2024-01-03 16:00:00,42995.144693416456,43475.54520953022,42304.73652813641,42629.95807693702,-0.007914599116472965,-0.008493671066429842,44603.35650214439,1022.7950148499611,1.9294173285512657,stop_loss,0.0,,42629.95807693702,-211.10899802837397,0.0,-211.11,9788.891001971626,0,0,1.0884488697962782,
17,2024-01-03 20:00:00,2024-01-03 20:00:00,42622.37253028457,42966.07483601781,42603.41298105627,42830.90420516804,0.004713730374032998,0.004892540290555081,44335.74334014242,1106.735417694328,1.3597099278790847,,0.0,,,,-0.0,-211.11,9788.891001971626,0,0,0.0,
