date,open,high,low,close
2018-01-01 00:00:00,737.7139999999998,759.952,720.1039999999999,750.296
2018-01-02 00:00:00,752.9019999999999,869.5239999999999,752.9019999999999,859.4639999999998
2018-01-03 00:00:00,860.742,948.602,848.9119999999998,940.962
2018-01-04 00:00:00,938.612,995.938,906.176,947.196
2018-01-05 00:00:00,941.366,1016.314,933.702,968.7
2018-01-06 00:00:00,966.152,1005.846,964.75,1004.718
2018-01-07 00:00:00,1004.398,1110.808,1003.002,1110.808
2018-01-08 00:00:00,1113.934,1224.076,975.952,1134.854
2018-01-09 00:00:00,1137.692,1298.484,1131.7040000000004,1292.236
2018-01-10 00:00:00,1288.1560000000004,1380.734,1212.542,1247.216
2018-01-11 00:00:00,1271.326,1329.0839999999998,1113.5980000000004,1138.0
2018-01-12 00:00:00,1132.7759999999996,1279.8,1097.398,1259.6839999999995
2018-01-13 00:00:00,1261.082,1418.814,1261.082,1382.28
2018-01-14 00:00:00,1380.556,1384.766,1280.948,1358.312
2018-01-15 00:00:00,1358.678,1376.994,1269.288,1271.696
2018-01-16 00:00:00,1276.26,1276.26,872.742,1067.292
2018-01-17 00:00:00,1081.7379999999996,1121.096,765.6220000000002,1019.962
2018-01-18 00:00:00,1019.08,1100.292,957.378,1025.392
2018-01-19 00:00:00,1019.07,1094.436,1000.5400000000004,1037.516
2018-01-20 00:00:00,1043.3200000000004,1163.66,1042.248,1147.984
2018-01-21 00:00:00,1147.808,1149.3260000000002,1011.72,1043.062
2018-01-22 00:00:00,1047.958,1078.5279999999998,917.554,997.824
2018-01-23 00:00:00,998.05,1017.138,910.542,982.5400000000004
2018-01-24 00:00:00,987.036,1059.64,960.124,1059.64
2018-01-25 00:00:00,1056.052,1100.33,1020.462,1044.9119999999998
2018-01-26 00:00:00,1043.568,1072.132,987.184,1048.6280000000004
2018-01-27 00:00:00,1048.712,1118.06,1035.982,1105.106
2018-01-28 00:00:00,1105.8239999999998,1226.582,1098.644,1224.006
2018-01-29 00:00:00,1222.754,1227.9299999999996,1140.46,1165.0
2018-01-30 00:00:00,1165.192,1168.47,1028.8080000000002,1050.924
2018-01-31 00:00:00,1050.798,1115.524,1019.814,1100.2580000000005
2018-02-01 00:00:00,1101.686,1147.802,947.742,1023.24
2018-02-02 00:00:00,1019.252,1019.252,742.298,913.814
2018-02-03 00:00:00,914.436,994.41,847.7479999999998,969.736
2018-02-04 00:00:00,967.084,969.022,790.4,824.1360000000002
2018-02-05 00:00:00,830.184,852.5439999999999,620.4460000000001,693.8739999999999
2018-02-06 00:00:00,703.578,801.27,569.802,790.076
2018-02-07 00:00:00,791.5679999999999,859.5540000000002,722.7339999999999,750.9699999999998
2018-02-08 00:00:00,754.6160000000001,844.2880000000001,754.6160000000001,813.0219999999998
2018-02-09 00:00:00,812.4,879.5020000000002,781.8960000000001,877.8800000000001
2018-02-10 00:00:00,875.382,909.176,819.3,851.9939999999999
2018-02-11 00:00:00,849.3400000000001,852.96,781.658,811.834
2018-02-12 00:00:00,815.2360000000001,874.57,814.1820000000001,865.0259999999997
2018-02-13 00:00:00,866.75,868.28,825.2900000000003,841.028
2018-02-14 00:00:00,840.934,923.028,840.934,921.222
2018-02-15 00:00:00,917.572,949.52,906.452,928.944
2018-02-16 00:00:00,927.15,948.731,911.67,945.304
2018-02-17 00:00:00,944.21,976.595,940.754,974.426
2018-02-18 00:00:00,974.115,982.933,915.445,925.04
2018-02-19 00:00:00,923.921,957.777,921.554,943.818
2018-02-20 00:00:00,943.865,965.265,892.954,895.371
2018-02-21 00:00:00,894.135,912.375,830.563,849.971
2018-02-22 00:00:00,849.262,875.926,802.668,812.845
2018-02-23 00:00:00,811.585,886.318,794.791,864.189
2018-02-24 00:00:00,861.593,879.531,818.55,840.515
2018-02-25 00:00:00,839.459,853.146,822.381,844.81
2018-02-26 00:00:00,845.278,880.392,842.319,869.315
2018-02-27 00:00:00,872.231,896.259,867.146,878.107
2018-02-28 00:00:00,877.934,889.538,855.124,855.199
2018-03-01 00:00:00,855.293,880.302,851.92,872.2
2018-03-02 00:00:00,871.764,876.378,852.422,856.853
2018-03-03 00:00:00,856.711,868.454,855.207,857.225
2018-03-04 00:00:00,856.186,867.95,840.28,866.678
2018-03-05 00:00:00,866.846,869.92,853.52,853.684
2018-03-06 00:00:00,853.817,853.817,809.931,816.951
2018-03-07 00:00:00,816.271,825.607,726.547,752.831
2018-03-08 00:00:00,752.57,773.767,696.169,704.596
2018-03-09 00:00:00,702.197,729.156,648.107,728.916
2018-03-10 00:00:00,730.16,748.031,682.695,686.89
2018-03-11 00:00:00,685.312,735.831,668.123,723.339
2018-03-12 00:00:00,724.406,742.514,683.268,699.831
2018-03-13 00:00:00,698.153,713.735,682.35,690.827
2018-03-14 00:00:00,691.219,702.784,594.1,614.291
2018-03-15 00:00:00,614.839,620.616,579.505,611.304
2018-03-16 00:00:00,611.778,623.168,587.862,601.666
2018-03-17 00:00:00,601.678,609.151,549.096,552.779
2018-03-18 00:00:00,551.64,551.64,460.088,538.644
2018-03-19 00:00:00,546.626,558.1,519.123,554.365
2018-03-20 00:00:00,556.722,567.09,521.812,557.175
2018-03-21 00:00:00,559.1,589.607,550.572,561.732
2018-03-22 00:00:00,562.103,577.566,523.089,539.2
2018-03-23 00:00:00,539.702,540.487,512.127,537.552
2018-03-24 00:00:00,539.619,545.382,526.08,527.297
2018-03-25 00:00:00,526.439,535.821,515.659,524.436
2018-03-26 00:00:00,524.287,526.379,470.44,489.897
2018-03-27 00:00:00,489.951,491.459,449.971,449.971
2018-03-28 00:00:00,450.116,466.211,444.861,448.697
2018-03-29 00:00:00,446.279,450.813,385.813,385.964
2018-03-30 00:00:00,385.968,409.929,368.633,394.645
2018-03-31 00:00:00,394.645,418.468,392.953,396.523
2018-04-01 00:00:00,396.457,400.528,363.805,379.607
2018-04-02 00:00:00,379.607,395.171,377.593,386.022
2018-04-03 00:00:00,386.425,418.968,383.532,416.298
2018-04-04 00:00:00,416.893,417.472,375.31,381.043
2018-04-05 00:00:00,380.543,387.716,369.816,383.232
2018-04-06 00:00:00,383.232,385.195,366.911,370.16
2018-04-07 00:00:00,370.285,393.059,369.936,385.481
2018-04-08 00:00:00,385.314,402.59,385.314,399.776
2018-04-09 00:00:00,400.508,429.251,390.61,397.137
2018-04-10 00:00:00,398.526,415.888,393.879,414.155
2018-04-11 00:00:00,414.243,432.532,412.471,430.279
2018-04-12 00:00:00,431.117,494.909,414.093,493.665
2018-04-13 00:00:00,497.109,528.376,482.034,495.801
2018-04-14 00:00:00,491.828,513.877,487.503,502.463
2018-04-15 00:00:00,508.475,534.156,507.39,534.156
2018-04-16 00:00:00,533.788,536.277,499.422,511.099
2018-04-17 00:00:00,511.147,518.031,502.564,503.169
2018-04-18 00:00:00,503.169,525.092,502.894,524.257
2018-04-19 00:00:00,524.789,567.475,523.262,567.475
2018-04-20 00:00:00,567.889,618.715,560.283,615.765
2018-04-21 00:00:00,615.765,621.888,578.55,603.808
2018-04-22 00:00:00,605.395,640.767,593.869,622.043
2018-04-23 00:00:00,622.043,646.7,621.035,643.168
2018-04-24 00:00:00,642.548,708.875,642.548,707.623
2018-04-25 00:00:00,708.158,708.158,600.212,612.7
2018-04-26 00:00:00,615.416,663.181,604.007,663.181
2018-04-27 00:00:00,662.809,684.868,647.032,647.032
2018-04-28 00:00:00,647.032,691.442,644.646,683.548
2018-04-29 00:00:00,683.678,697.756,670.513,689.401
2018-04-30 00:00:00,688.881,694.439,666.117,669.75
2018-05-01 00:00:00,669.924,674.403,637.54,674.192
2018-05-02 00:00:00,673.613,688.842,667.42,686.532
2018-05-03 00:00:00,687.149,784.341,686.591,781.437
2018-05-04 00:00:00,779.543,803.746,762.632,784.908
2018-05-05 00:00:00,785.624,827.455,784.237,815.89
2018-05-06 00:00:00,816.12,835.057,764.883,793.046
2018-05-07 00:00:00,792.311,795.758,710.178,751.327
2018-05-08 00:00:00,753.725,774.249,728.129,754.139
2018-05-09 00:00:00,752.857,759.529,718.472,751.736
2018-05-10 00:00:00,752.275,766.748,726.664,726.664
2018-05-11 00:00:00,727.277,736.977,669.825,680.712
2018-05-12 00:00:00,679.586,691.411,644.066,685.96
2018-05-13 00:00:00,686.048,741.312,675.319,734.488
2018-05-14 00:00:00,733.496,742.17,695.792,731.692
2018-05-15 00:00:00,730.549,739.052,700.995,709.902
2018-05-16 00:00:00,708.871,710.2,682.541,707.05
2018-05-17 00:00:00,707.05,718.833,668.834,672.657
2018-05-18 00:00:00,672.657,695.031,663.809,693.997
2018-05-19 00:00:00,694.367,715.578,686.791,696.275
2018-05-20 00:00:00,696.53,723.753,692.669,715.756
2018-05-21 00:00:00,715.369,719.278,692.494,699.735
2018-05-22 00:00:00,699.222,700.976,644.026,648.226
2018-05-23 00:00:00,647.741,651.636,572.952,584.766
2018-05-24 00:00:00,584.766,610.818,557.206,602.471
2018-05-25 00:00:00,601.755,617.186,575.624,584.337
2018-05-26 00:00:00,586.734,606.175,583.512,587.317
2018-05-27 00:00:00,587.28,590.328,562.866,573.991
2018-05-28 00:00:00,572.668,576.049,512.552,516.54
2018-05-29 00:00:00,516.54,572.264,516.036,565.301
2018-05-30 00:00:00,565.301,583.136,545.431,559.971
2018-05-31 00:00:00,559.59,585.538,557.066,576.808
2018-06-01 00:00:00,576.808,589.093,567.665,580.954
2018-06-02 00:00:00,580.954,597.077,577.322,591.858
2018-06-03 00:00:00,591.808,624.513,591.259,618.329
2018-06-04 00:00:00,618.329,623.429,583.747,592.44
2018-06-05 00:00:00,592.44,611.33,580.982,609.272
2018-06-06 00:00:00,609.272,611.643,596.396,607.062
2018-06-07 00:00:00,607.124,616.144,601.693,604.751
2018-06-08 00:00:00,604.751,608.811,595.593,601.695
2018-06-09 00:00:00,601.077,608.583,599.774,599.774
2018-06-10 00:00:00,599.774,599.774,511.889,525.787
2018-06-11 00:00:00,525.787,536.858,515.269,532.113
2018-06-12 00:00:00,533.284,538.955,491.235,495.119
2018-06-13 00:00:00,495.119,501.905,459.004,476.264
2018-06-14 00:00:00,476.264,523.545,467.466,519.443
2018-06-15 00:00:00,519.742,521.305,487.469,491.095
2018-06-16 00:00:00,491.004,503.223,488.851,499.829
2018-06-17 00:00:00,499.642,507.641,498.648,500.53
2018-06-18 00:00:00,500.448,521.796,494.066,518.703
2018-06-19 00:00:00,518.891,542.353,516.312,538.103
2018-06-20 00:00:00,538.103,541.015,519.369,536.646
2018-06-21 00:00:00,536.268,543.717,524.259,527.522
2018-06-22 00:00:00,527.367,527.367,456.877,465.403
2018-06-23 00:00:00,465.403,479.129,462.393,474.52
2018-06-24 00:00:00,474.52,475.359,426.469,458.233
2018-06-25 00:00:00,458.233,470.344,448.896,460.816
2018-06-26 00:00:00,460.31,461.213,434.065,434.065
2018-06-27 00:00:00,432.772,444.243,424.839,442.177
2018-06-28 00:00:00,442.365,443.618,419.945,422.365
2018-06-29 00:00:00,422.587,442.12,407.595,436.391
2018-06-30 00:00:00,436.009,459.645,436.009,454.991
2018-07-01 00:00:00,454.991,457.205,446.229,453.9
2018-07-02 00:00:00,453.824,479.13,447.111,475.238
2018-07-03 00:00:00,475.962,484.514,462.163,463.738
2018-07-04 00:00:00,464.195,481.436,455.185,466.277
2018-07-05 00:00:00,467.287,483.135,463.659,474.631
2018-07-06 00:00:00,474.631,480.194,457.869,474.155
2018-07-07 00:00:00,474.012,491.478,466.836,491.478
2018-07-08 00:00:00,491.66,503.555,488.408,489.304
2018-07-09 00:00:00,489.304,491.273,476.215,476.627
2018-07-10 00:00:00,476.627,477.774,433.96,434.348
2018-07-11 00:00:00,434.515,447.262,429.657,446.046
2018-07-12 00:00:00,446.502,446.502,422.81,430.074
2018-07-13 00:00:00,430.074,442.566,430.074,433.787
2018-07-14 00:00:00,433.914,439.371,431.463,436.282
2018-07-15 00:00:00,435.988,453.967,434.033,449.85
2018-07-16 00:00:00,450.142,480.49,446.798,480.49
2018-07-17 00:00:00,480.202,508.034,468.794,500.909
2018-07-18 00:00:00,500.838,513.102,473.883,480.513
2018-07-19 00:00:00,480.513,483.027,465.168,469.619
2018-07-20 00:00:00,469.307,469.307,443.886,450.605
2018-07-21 00:00:00,450.679,468.477,445.1,462.477
2018-07-22 00:00:00,462.436,470.926,457.955,459.657
2018-07-23 00:00:00,459.439,469.799,449.728,450.975
2018-07-24 00:00:00,450.975,481.457,450.565,479.373
2018-07-25 00:00:00,479.906,482.556,466.332,472.785
2018-07-26 00:00:00,472.785,483.712,461.424,464.037
2018-07-27 00:00:00,464.037,473.45,458.701,469.636
2018-07-28 00:00:00,469.95,471.594,462.947,466.868
2018-07-29 00:00:00,466.915,470.228,462.78,466.787
2018-07-30 00:00:00,466.793,467.939,448.358210448,457.219203346
2018-07-31 00:00:00,456.835866105,457.245251112,430.30612274,434.346370358
2018-08-01 00:00:00,434.083114448,435.422735715,410.820795786,420.746959721
2018-08-02 00:00:00,420.806339794,424.921613311,410.309023279,412.62121575
2018-08-03 00:00:00,412.62121575,510.222357056,399.918362384,418.688099963
2018-08-04 00:00:00,418.390907043,420.186414948,403.963582222,407.36929574
2018-08-05 00:00:00,407.260371081,413.730420991,402.400364115,410.214451481
2018-08-06 00:00:00,410.542768759,414.540242839,403.485240633,406.52536786
2018-08-07 00:00:00,406.801464995,411.68418724,376.076743105,380.425981994
2018-08-08 00:00:00,380.073327451,380.871121046,353.552596752,356.613028666
2018-08-09 00:00:00,356.613028666,370.954506107,353.733041165,365.777538838
2018-08-10 00:00:00,365.777538838,367.045143682,329.585773639,334.211244176
2018-08-11 00:00:00,334.150479591,334.454392315,308.488276832,322.111523909
2018-08-12 00:00:00,322.501777687,328.629084194,318.440220239,319.368282891
2018-08-13 00:00:00,319.368282891,323.551099866,284.934083774,286.35243418
2018-08-14 00:00:00,286.494579814,286.494579814,254.649891318,278.931610762
2018-08-15 00:00:00,278.931610762,303.63634572,278.883004684,282.507251391
2018-08-16 00:00:00,282.363684335,298.580772601,280.503697995,287.366301635
2018-08-17 00:00:00,287.366301635,316.01554882,287.346168295,315.728949968
2018-08-18 00:00:00,315.451687583,320.751416446,286.426850219,295.736646619
2018-08-19 00:00:00,295.736646619,307.098165481,291.331957502,301.026073737
2018-08-20 00:00:00,301.026073737,304.556236945,273.163975057,274.563449618
2018-08-21 00:00:00,274.716379726,286.38778229,273.196811185,281.686287519
2018-08-22 00:00:00,281.776755248,297.031049594,264.997819944,271.191284756
2018-08-23 00:00:00,271.272591818,280.043170491,271.272591818,277.103883005
2018-08-24 00:00:00,277.357723985,283.552429053,273.666825116,283.256818366
2018-08-25 00:00:00,283.256818366,283.55911969,278.398615593,279.534083991
2018-08-26 00:00:00,279.353034575,279.524965884,272.032106631,274.578099027
2018-08-27 00:00:00,274.993879498,285.688397377,273.392129685,285.688397377
2018-08-28 00:00:00,286.401629091,297.576195492,283.721728187,296.499489861
2018-08-29 00:00:00,296.020569075,297.071104814,287.206074335,289.251841577
2018-08-30 00:00:00,289.312410944,291.271444297,274.867581355,284.088860812
2018-08-31 00:00:00,284.105467625,284.551373515,278.263711995,282.817183085
2018-09-01 00:00:00,282.937903331,301.323966684,282.834863799,295.503478863
2018-09-02 00:00:00,295.50540109,298.96329459,290.867084932,294.22309744
2018-09-03 00:00:00,294.370662274,295.792607681,287.174417114,289.144898086
2018-09-04 00:00:00,289.144898086,291.515727352,284.166512551,285.694149531
2018-09-05 00:00:00,285.723191623,287.97291455,232.708493603,232.708493603
2018-09-06 00:00:00,232.708493603,232.708493603,218.12314895,230.102022302
2018-09-07 00:00:00,230.214857894,233.753084458,216.965187865,217.555832682
2018-09-08 00:00:00,217.555832682,220.61003025,193.201994439,197.908999657
2018-09-09 00:00:00,197.950737895,207.666328437,188.199776708,197.148891107
