reference_index,net_profit,num_of_trade,code,std_ratio_thres,sma_len,sma_dir,candle_dir,candle_len,cycle,sl,tp
8615,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,2.0,10,whatever,positive,2,20,2,10
8591,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,1.0,10,whatever,positive,2,20,2,10
9071,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,2.5,20,whatever,positive,2,20,2,10
8639,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,2.5,10,whatever,positive,2,20,2,10
9023,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,whatever,positive,2,20,2,10
9047,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,whatever,positive,2,20,2,10
8855,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,2.5,15,whatever,positive,2,20,2,10
8807,-1295.08,246,GN03_market_price_usd_ohlc_4h_SOL,1.0,15,whatever,positive,2,20,2,10
2498,-1295.78,64,GN01_market_price_usd_ohlc_4h_BTC,2.5,20,below,negative,1,20,1,3
8254,-1298.22,95,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,above,positive,1,15,2,10
2072,-1298.73,33,GN01_market_price_usd_ohlc_4h_BTC,2.5,10,below,negative,1,20,1,5
4194,-1300.38,76,GN02_market_price_usd_ohlc_4h_ETH,1.0,15,below,positive,1,10,1,10
12782,-1303.9,115,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,above,positive,2,20,1,7
10940,-1308.35,55,GN03_market_price_usd_ohlc_4h_SOL,2.5,20,below,negative,2,20,1,10
4552,-1311.59,131,GN02_market_price_usd_ohlc_4h_ETH,1.0,10,above,positive,2,15,2,7
7839,-1314.34,25,GN03_market_price_usd_ohlc_4h_SOL,2.5,10,above,positive,1,10,2,7
10941,-1314.48,52,GN03_market_price_usd_ohlc_4h_SOL,2.5,20,below,negative,2,10,2,10
9729,-1319.28,47,GN03_market_price_usd_ohlc_4h_SOL,1.0,10,above,negative,1,10,2,5
9936,-1319.67,83,GN03_market_price_usd_ohlc_4h_SOL,1.0,15,above,negative,1,10,1,3
19031,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,20,2,10
19016,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,20,1,5
19014,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,10,1,5
19030,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,15,2,10
19015,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,15,1,5
19028,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,20,1,10
19019,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,20,2,5
19021,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,15,1,7
19022,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,20,1,7
19029,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,10,2,10
19027,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,15,1,10
19017,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,10,2,5
19026,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,10,1,10
19025,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,20,2,7
19018,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,15,2,5
19020,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,10,1,7
19024,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,15,2,7
19023,-1319.69,7,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,above,negative,4,10,2,7
11683,-1321.59,280,GN04_market_price_usd_ohlc_4h_SUI,1.0,10,above,positive,1,15,1,10
490,-1321.88,58,GN01_market_price_usd_ohlc_4h_BTC,2.5,20,above,positive,1,15,2,5
12999,-1325.11,78,GN04_market_price_usd_ohlc_4h_SUI,2.0,10,above,positive,4,10,2,7
5042,-1326.86,31,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,below,positive,2,20,1,3
6282,-1329.85,54,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,above,negative,1,10,1,10
4178,-1332.06,76,GN02_market_price_usd_ohlc_4h_ETH,1.0,15,below,positive,1,20,1,3
5027,-1333.54,53,GN02_market_price_usd_ohlc_4h_ETH,2.5,20,above,positive,2,20,2,5
12196,-1335.9,8,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,below,positive,1,15,2,3
12197,-1335.9,8,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,below,positive,1,20,2,3
205,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,2.5,10,whatever,positive,1,15,1,7
421,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,2.5,15,whatever,positive,1,15,1,7
637,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,2.5,20,whatever,positive,1,15,1,7
613,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,2.0,20,whatever,positive,1,15,1,7
589,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,1.0,20,whatever,positive,1,15,1,7
181,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,whatever,positive,1,15,1,7
373,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,1.0,15,whatever,positive,1,15,1,7
157,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,1.0,10,whatever,positive,1,15,1,7
397,-1336.1,269,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,whatever,positive,1,15,1,7
15467,-1337.65,45,GN04_market_price_usd_ohlc_4h_SUI,2.5,20,below,negative,4,20,2,5
1765,-1337.69,10,GN01_market_price_usd_ohlc_4h_BTC,2.0,20,above,positive,4,15,1,7
1759,-1337.69,10,GN01_market_price_usd_ohlc_4h_BTC,2.0,20,above,positive,4,15,1,5
1771,-1337.69,10,GN01_market_price_usd_ohlc_4h_BTC,2.0,20,above,positive,4,15,1,10
12557,-1340.36,129,GN04_market_price_usd_ohlc_4h_SUI,2.0,15,above,positive,2,20,2,3
12556,-1340.36,129,GN04_market_price_usd_ohlc_4h_SUI,2.0,15,above,positive,2,15,2,3
7270,-1341.71,11,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,below,negative,4,15,2,10
10935,-1343.05,52,GN03_market_price_usd_ohlc_4h_SOL,2.5,20,below,negative,2,10,2,7
13751,-1343.56,17,GN04_market_price_usd_ohlc_4h_SUI,2.5,10,below,negative,1,20,2,10
12200,-1343.65,8,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,below,positive,1,20,1,5
5045,-1343.96,30,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,below,positive,2,20,2,3
9346,-1346.58,17,GN03_market_price_usd_ohlc_4h_SOL,2.5,15,above,positive,4,15,2,5
1564,-1346.84,7,GN01_market_price_usd_ohlc_4h_BTC,2.5,15,above,positive,4,15,2,3
1780,-1346.84,7,GN01_market_price_usd_ohlc_4h_BTC,2.5,20,above,positive,4,15,2,3
3162,-1349.47,40,GN01_market_price_usd_ohlc_4h_BTC,2.5,20,below,negative,2,10,1,10
3156,-1349.47,40,GN01_market_price_usd_ohlc_4h_BTC,2.5,20,below,negative,2,10,1,7
4606,-1349.5,27,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,above,positive,2,15,2,10
14365,-1349.63,116,GN04_market_price_usd_ohlc_4h_SUI,2.0,10,below,negative,2,15,1,7
15608,-1351.14,26,GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,above,positive,1,20,1,5
4325,-1352.61,194,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,above,positive,1,20,2,3
4400,-1354.72,88,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,below,positive,1,20,1,5
1334,-1354.74,11,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,above,positive,4,20,1,7
1340,-1354.74,11,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,above,positive,4,20,1,10
1328,-1354.74,11,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,above,positive,4,20,1,5
2044,-1360.47,116,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,below,negative,1,15,2,3
11347,-1361.14,49,GN03_market_price_usd_ohlc_4h_SOL,2.0,15,below,negative,4,15,1,10
2949,-1361.38,32,GN01_market_price_usd_ohlc_4h_BTC,2.5,15,below,negative,2,10,2,10
17499,-1362.15,53,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,above,negative,1,10,2,3
12128,-1363.28,130,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,above,positive,1,20,1,5
